,City,Cloud %,Country,Humidity,Latatude,Longitute,Maximum Temperature,Wind
162,galle,95,GN,98,10.08,-12.83,68.45,1.77
163,guerrero negro,0,MX,89,27.97,-114.04,65.57,11.12
164,lasa,20,CY,69,34.92,32.53,77.0,5.82
165,rawson,2,AR,68,-43.3,-65.11,42.53,22.79
166,karratha,47,AU,15,-20.74,116.85,87.17,9.95
167,talnakh,75,RU,87,69.49,88.39,59.0,15.66
168,placerville,0,US,37,38.73,-120.8,80.01,4.7
169,kihei,40,US,69,20.76,-156.45,82.0,17.22
170,mercedes,100,UY,88,-33.25,-58.03,59.0,4.0
171,montepuez,100,MZ,64,-13.13,39.0,75.11,3.04
172,saint george,20,GR,61,39.45,22.34,78.8,3.53
173,charters towers,11,AU,33,-20.07,146.27,75.65,11.72
174,victoria,75,BN,55,5.28,115.24,93.2,4.7
175,horasan,0,TR,51,40.04,42.16,72.23,0.76
176,shchors,39,UA,78,51.82,31.95,54.41,6.91
177,gushikawa,40,JP,63,26.35,127.87,91.4,18.34
178,opuwo,0,NA,30,-18.06,13.84,51.89,3.33
179,isangel,40,VU,106,-19.55,169.27,77.0,11.41
180,vao,80,EE,66,59.1,26.19,59.81,5.3
181,coihaique,0,CL,99,-45.58,-72.07,33.8,1.12
182,rio verde de mato grosso,0,BR,41,-18.92,-54.84,69.17,6.62
183,miyako,20,JP,74,33.63,130.94,99.0,5.82
184,korsakov,90,RU,88,46.63,142.78,69.8,11.18
185,majene,33,ID,69,-3.54,118.97,82.49,20.45
186,tasiilaq,0,GL,70,65.61,-37.64,48.2,1.12
187,lufilufi,75,WS,83,-13.87,-171.6,82.4,8.05
188,cabo san lucas,20,MX,69,22.89,-109.91,82.99,7.0
189,toronto,1,CA,60,43.65,-79.39,69.8,8.05
190,lata,100,IN,99,30.78,78.62,47.75,6.71
191,santa fe,68,AR,88,-31.62,-60.7,63.0,5.99
192,svetlaya,94,RU,71,46.54,138.33,76.19,3.51
193,aklavik,40,CA,49,68.22,-135.01,68.0,2.24
194,sao joao da barra,15,BR,96,-21.64,-41.05,61.97,1.52
195,mariakani,40,KE,94,-3.87,39.47,73.4,5.82
196,nizhniy ufaley,100,RU,92,55.91,59.99,64.67,6.04
197,medowie,20,AU,63,-32.73,151.85,64.99,11.41
198,russell,1,US,61,38.9,-98.86,84.2,9.17
199,salima,33,MW,60,-13.78,34.45,68.45,12.33
200,staryy nadym,100,RU,67,65.61,72.68,61.97,18.25
201,mmathubudukwane,0,BW,44,-24.61,26.43,37.4,1.12
202,olga,1,US,68,34.11,-118.17,72.0,3.42
203,carutapera,18,BR,86,-1.2,-46.02,77.09,5.99
204,solnechnyy,100,RU,97,50.72,136.64,64.67,5.12
205,assiniboia,0,CA,75,49.63,-105.99,66.65,11.99
206,severo-kurilsk,94,RU,96,50.68,156.12,49.19,12.12
207,flin flon,0,CA,69,54.77,-101.88,56.39,4.72
208,hithadhoo,0,MV,69,-0.6,73.08,83.75,11.36
209,tecoanapa,20,MX,79,16.99,-99.26,84.2,6.93
210,fraga,19,ES,77,41.52,0.35,69.8,16.11
211,kaitangata,74,NZ,86,-46.28,169.85,42.17,9.4
212,krasnopavlivka,0,UA,63,49.15,36.33,59.81,7.83
213,oussouye,40,SN,94,12.49,-16.54,75.2,2.24
214,iqaluit,90,CA,100,63.75,-68.52,37.4,11.41
215,dingle,100,PH,78,11.0,122.67,83.75,12.35
216,sitka,78,US,41,37.17,-99.65,84.0,11.01
217,maholi,62,IN,57,27.65,80.48,90.77,8.97
218,kushiro,20,JP,70,43.11,144.15,84.2,12.75
219,nanortalik,44,GL,82,60.14,-45.24,41.45,0.51
220,nicoya,0,CR,78,10.15,-85.45,77.0,3.36
221,carballo,75,ES,87,43.21,-8.69,64.99,2.24
222,nyurba,83,RU,75,63.29,118.35,62.87,3.71
223,xining,64,CN,46,36.62,101.77,69.35,9.69
224,esperance,0,AU,42,-33.86,121.89,62.6,10.29
225,tuatapere,97,NZ,83,-46.13,167.69,48.0,11.99
226,oranjemund,0,ZA,79,-28.55,16.43,56.21,10.27
227,maine-soroa,45,NE,53,13.21,12.02,84.65,14.61
228,kaeo,9,NZ,100,-35.1,173.78,52.0,1.01
229,banswara,99,IN,82,23.55,74.45,82.49,17.0
230,cabedelo,40,BR,100,-6.97,-34.84,71.6,8.05
231,el ejido,0,ES,69,36.78,-2.82,75.99,5.82
232,saint-augustin,1,CA,56,45.63,-73.98,68.0,6.93
233,geraldton,5,CA,76,49.72,-86.95,55.4,4.7
234,san cristobal,28,HN,89,14.68,-86.92,65.93,2.73
235,merauke,96,ID,80,-8.49,140.4,76.55,23.82
236,yulara,0,AU,22,-25.24,130.99,68.0,11.41
237,lithgow,9,AU,40,-33.48,150.16,68.0,6.93
238,neustadt,20,CH,82,47.05,8.31,62.01,2.24
239,mahebourg,20,MU,78,-20.41,57.7,75.2,11.41
240,tiznit,14,MA,94,29.7,-9.73,66.11,6.26
241,felipe carrillo puerto,3,MX,99,19.58,-88.05,72.59,2.3
242,balkanabat,0,TM,16,39.51,54.36,103.01,8.34
243,peniche,20,PT,93,39.36,-9.38,62.6,3.36
244,dawson,1,US,72,39.85,-89.46,66.2,6.93
245,clyde river,1,CA,87,70.47,-68.59,44.6,2.24
246,alofi,1,NU,88,-19.06,-169.92,78.8,3.36
247,krasnyye barrikady,0,RU,37,46.2,47.86,71.6,11.18
248,fortuna,1,US,77,40.6,-124.16,62.6,3.36
249,san julian,98,PH,75,11.75,125.45,79.43,7.16
250,husavik,35,CA,62,50.56,-96.99,72.0,5.01
251,maryville,1,US,83,35.76,-83.97,75.0,2.26
252,plymouth,21,GB,100,50.37,-4.14,57.99,3.36
253,noshiro,75,JP,83,40.21,140.05,86.0,11.41
254,goundam,98,ML,59,16.42,-3.66,84.83,10.67
255,chuy,82,UY,94,-33.69,-53.46,57.83,6.4
256,nhamunda,40,BR,69,-2.19,-56.71,75.65,2.19
257,biak,100,ID,91,-0.91,122.88,65.39,5.77
258,bandar-e anzali,40,IR,79,37.47,49.46,84.2,5.95
259,ayan,0,IR,39,38.23,44.7,82.4,4.7
260,puxinana,40,BR,88,-7.16,-35.96,68.0,5.82
261,portland,20,US,73,43.66,-70.25,71.6,1.81
262,duncan,1,US,65,34.5,-97.96,84.2,8.05
263,jaciara,0,BR,44,-15.95,-54.98,67.19,2.77
264,berdigestyakh,100,RU,93,62.1,126.7,51.35,9.01
265,ayr,42,AU,45,-19.58,147.4,74.75,8.75
266,selikhino,70,RU,87,50.37,137.51,74.21,8.21
267,batagay-alyta,84,RU,48,67.8,130.41,47.75,3.71
268,eydhafushi,99,MV,65,5.1,73.07,83.21,3.13
269,voyvozh,54,RU,46,62.89,54.96,61.61,4.09
270,kysyl-syr,100,RU,90,63.9,122.77,50.99,7.05
271,zhigansk,5,RU,28,66.77,123.37,67.55,6.89
272,mont-dore,90,NC,60,-22.23,166.53,68.0,13.87
273,bilibino,95,RU,66,68.06,166.44,43.43,1.74
274,necochea,69,AR,42,-38.55,-58.74,47.75,11.3
275,klaksvik,100,FO,87,62.23,-6.59,51.8,3.36
276,camacha,40,PT,77,33.08,-16.33,69.8,12.75
277,bukachacha,3,RU,29,52.99,116.91,81.95,4.88
278,ketchikan,75,US,87,55.34,-131.65,59.0,4.7
279,namibe,100,AO,81,-15.19,12.15,63.59,6.64
280,port hawkesbury,1,CA,94,45.62,-61.36,71.01,2.24
281,laguna,40,BZ,94,16.17,-88.94,77.0,1.59
282,oum hadjer,56,TD,69,13.3,19.7,81.77,9.91
283,samarai,100,PG,81,-10.62,150.67,74.03,9.13
284,hambantota,75,LK,74,6.12,81.12,87.8,14.99
285,sambava,32,MG,65,-14.27,50.17,76.91,4.68
286,salinopolis,40,BR,80,-0.61,-47.36,80.87,15.23
287,arlit,63,NE,26,18.74,7.39,92.93,9.84
288,cayenne,10,GF,94,4.94,-52.33,75.2,3.31
289,cherskiy,36,RU,69,68.75,161.3,43.61,14.72
290,tolaga bay,29,NZ,81,-38.37,178.3,39.47,1.92
291,road town,90,VG,94,18.42,-64.62,80.6,3.36
292,namatanai,29,PG,79,-3.66,152.44,79.25,5.21
293,nepomuceno,0,BR,71,-21.23,-45.23,54.05,2.68
294,petropavlovsk-kamchatskiy,20,RU,77,53.05,158.65,66.2,11.18
295,san luis,38,AR,27,-33.3,-66.34,54.41,21.21
296,shingu,40,JP,63,33.72,135.99,91.4,8.05
297,manokwari,72,ID,77,-0.87,134.08,77.27,4.05
298,cockburn town,52,TC,75,21.46,-71.14,83.93,16.91
299,barcelos,79,BR,96,-0.97,-62.93,72.05,2.26
300,inhambane,40,MZ,100,-23.87,35.38,66.2,4.7
301,kavaratti,74,IN,76,10.57,72.64,83.21,10.51
302,ambon,90,FR,100,47.55,-2.56,61.0,8.05
303,buraydah,0,SA,23,26.33,43.97,95.0,3.36
304,amuntai,31,ID,31,-2.42,115.25,99.23,2.44
305,lompoc,90,US,87,34.64,-120.46,63.0,8.05
306,fairbanks,75,US,40,64.84,-147.72,71.6,24.16
307,la ronge,20,CA,82,55.1,-105.3,59.0,2.24
308,padang,91,ID,74,-0.92,100.36,81.77,10.42
309,mitu,0,IR,10,36.2,46.09,90.41,2.04
310,port hedland,7,AU,16,-20.31,118.58,86.0,5.82
311,makokou,100,GA,96,0.56,12.85,68.09,4.7
312,rassvet,0,RU,58,49.11,45.47,59.81,20.89
313,saint-philippe,1,CA,56,45.36,-73.48,68.0,6.93
314,tilichiki,100,RU,91,60.47,166.1,54.41,1.88
315,pevek,100,RU,96,69.7,170.27,30.29,9.93
316,terralba,0,IT,64,39.72,8.64,78.01,5.82
317,minab,40,IR,67,27.15,57.07,96.8,4.7
318,nsanje,18,MZ,69,-16.92,35.26,72.05,3.47
319,kiunga,100,PG,98,-6.12,141.3,71.87,1.72
320,roma,0,IT,73,41.89,12.48,73.99,3.36
321,michigan city,1,US,100,41.71,-86.9,66.2,12.53
322,san miguel,0,AR,87,-34.54,-58.72,55.99,5.82
323,touros,40,BR,94,-5.2,-35.46,73.4,4.7
324,cruzeiro do sul,0,BR,94,-7.63,-72.67,69.8,1.39
325,nalut,0,LY,31,31.86,10.98,78.89,5.39
326,trofors,0,NO,76,65.54,13.39,57.2,2.24
327,fukue,20,JP,70,35.03,136.69,108.0,8.05
328,port blair,90,IN,94,11.67,92.75,78.8,2.24
329,metro,15,ID,55,-5.11,105.31,86.81,5.99
330,komsomolskiy,89,RU,63,67.55,63.78,60.53,12.95
331,eyl,89,SO,50,7.98,49.82,83.93,22.17
332,hervey bay,40,AU,52,-25.3,152.85,68.0,17.22
333,cuetzalan,74,MX,85,20.02,-97.52,52.79,4.88
334,mangan,99,IN,78,27.5,88.54,67.55,5.06
335,paramonga,46,PE,90,-10.68,-77.82,58.19,10.29
336,ranau,75,MY,63,5.95,116.67,91.4,5.82
337,kokoda,100,PG,96,-8.88,147.74,61.43,2.73
338,svetlogorsk,75,RU,72,53.14,59.15,64.4,15.66
339,santo antonio do ica,74,BR,94,-3.1,-67.94,72.23,1.01
340,kharan,4,PK,32,28.58,65.42,96.71,6.44
341,te anau,54,NZ,75,-45.41,167.72,42.71,7.54
342,takoradi,92,GH,88,4.89,-1.75,73.49,3.85
343,lac du bonnet,47,CA,70,50.25,-96.06,72.0,1.01
344,san quintin,99,PH,78,17.54,120.52,84.29,13.87
345,lavrentiya,71,RU,54,65.58,-170.99,47.93,6.8
346,kalianget,20,ID,38,-7.35,109.91,89.6,11.41
347,changying,80,CN,47,52.87,123.32,76.73,5.84
348,saint-francois,0,FR,93,46.42,3.91,48.2,2.01
349,sorland,40,NO,87,67.67,12.69,51.8,10.29
350,baturaja,6,ID,41,-4.12,104.17,90.05,4.9
351,manavalakurichi,20,IN,70,8.13,77.3,86.0,6.93
352,muros,20,ES,93,42.77,-9.06,64.99,3.36
353,gizo,40,IL,78,31.8,34.94,82.99,6.93
354,gniezno,20,PL,87,52.54,17.6,64.99,2.24
355,malatya,0,TR,35,38.35,38.32,84.2,6.93
356,burnley,40,GB,93,53.79,-2.24,63.0,6.93
357,saint-joseph,0,FR,88,43.56,6.97,71.01,4.7
358,batouri,100,CM,98,4.44,14.36,68.63,4.34
359,buala,100,SB,86,-8.15,159.59,79.61,11.27
360,lebu,40,ET,82,8.96,38.73,59.0,4.7
361,druzhba,33,UA,76,52.05,33.94,54.95,6.6
362,meulaboh,58,ID,74,4.14,96.13,84.11,14.25
363,iskateley,92,RU,77,67.68,53.15,48.11,17.63
364,melito di porto salvo,20,IT,88,37.92,15.77,77.0,6.93
365,fort saint james,17,CA,95,54.43,-124.25,46.85,2.68
366,kralendijk,0,BQ,78,12.15,-68.27,82.4,18.34
367,provideniya,40,RU,67,64.42,-173.23,57.2,13.42
368,tefe,66,BR,74,-3.35,-64.71,75.83,1.79
369,baruun-urt,53,MN,36,46.68,113.28,80.15,6.49
370,newport,3,GB,93,51.59,-3.0,57.99,8.05
371,sokoni,85,CD,59,-12.89,28.78,57.0,1.01
372,chicama,40,PE,87,-7.84,-79.15,60.8,3.36
373,klyuchi,0,RU,22,52.25,79.17,92.03,11.68
374,orhangazi,0,TR,73,40.49,29.31,79.0,6.89
375,bintulu,75,MY,75,3.17,113.03,89.6,6.93
376,thunder bay,5,CA,93,48.41,-89.26,57.99,2.24
377,tuktoyaktuk,20,CA,59,69.44,-133.03,66.2,8.05
378,surt,0,LY,77,31.21,16.59,78.35,10.02
379,bodden town,0,KY,71,19.28,-81.25,84.29,6.53
380,fare,20,PF,80,-16.7,-151.02,77.45,21.12
381,khandyga,87,RU,24,62.65,135.58,67.73,5.35
382,nelson bay,20,AU,63,-32.72,152.14,63.0,11.41
383,sosva,100,RU,97,59.17,61.86,48.11,12.66
384,kahului,40,US,69,20.89,-156.47,82.0,17.22
385,adrar,23,DZ,20,27.87,-0.29,95.0,10.29
386,whitehorse,20,CA,45,60.72,-135.06,66.2,5.82
387,kendari,95,ID,64,-3.99,122.52,80.87,4.99
388,belyy yar,40,RU,78,53.6,91.39,73.4,2.24
389,bereda,75,ES,87,43.27,-7.54,64.99,2.24
390,yorosso,82,ML,94,12.35,-4.78,73.13,7.25
391,lac-megantic,75,CA,100,45.58,-70.88,64.0,4.7
392,warri,92,NG,90,5.52,5.75,75.29,5.79
393,barinas,100,VE,93,8.64,-70.23,72.59,1.88
394,bose,75,IT,88,45.46,8.01,73.99,1.12
395,bonthe,97,SL,89,7.53,-12.5,74.57,9.17
396,san policarpo,100,PH,71,12.18,125.51,83.93,5.46
397,broken hill,0,AU,47,-31.97,141.45,55.4,12.75
398,pekalongan,0,ID,42,-6.89,109.67,89.69,3.69
399,bilma,73,NE,28,18.69,12.92,91.13,5.77
400,nouadhibou,54,MR,77,20.93,-17.03,68.0,16.11
401,miami,75,US,78,25.77,-80.19,84.99,4.7
402,bandarbeyla,97,SO,44,9.49,50.81,87.17,29.39
403,baripada,100,IN,73,21.93,86.73,82.67,3.27
404,northam,0,AU,39,-31.65,116.67,66.2,12.75
405,vestmannaeyjar,100,IS,75,63.44,-20.27,53.33,19.08
406,goshogawara,75,JP,66,40.92,140.47,90.0,13.87
407,kokopo,76,PG,95,-4.34,152.27,76.91,1.1
408,tiksi,25,RU,76,71.64,128.87,41.45,6.89
409,baykit,56,RU,53,61.68,96.39,70.61,8.61
410,hami,0,CN,10,42.84,93.51,95.99,4.32
411,maloy,76,ID,59,1.0,118.1,86.81,6.91
412,contai,99,IN,55,21.78,87.75,91.13,5.7
413,kangaatsiaq,44,GL,72,68.31,-53.46,48.29,5.32
414,chabahar,29,IR,66,25.29,60.65,89.6,9.17
415,yazoo city,1,US,100,32.86,-90.41,73.4,4.05
416,kaitong,2,CN,31,44.81,123.15,89.33,8.28
417,zyryanka,98,RU,63,65.73,150.89,54.05,10.18
418,walvis bay,90,NA,93,-22.95,14.51,60.8,8.05
419,pemba,75,MZ,94,-12.97,40.52,68.0,6.93
420,portsmouth,75,GB,87,50.8,-1.08,57.2,4.7
421,sokoto,0,NG,76,13.06,5.24,78.53,12.17
422,niquelandia,0,BR,47,-14.47,-48.46,68.45,4.34
423,enshi,39,CN,47,30.29,109.48,85.37,4.83
424,ola,17,RU,88,59.58,151.3,55.31,5.95
425,el alto,0,BO,69,-16.5,-68.19,32.0,2.24
426,iquique,75,CL,67,-20.22,-70.14,59.0,6.93
427,kununurra,0,AU,15,-15.77,128.74,87.8,13.87
428,mackay,1,CA,100,53.65,-115.58,55.4,3.36
429,hofn,30,IS,66,64.25,-15.21,41.81,9.62
430,taoudenni,0,ML,16,22.68,-3.98,87.17,1.14
431,filadelfia,0,PY,45,-22.35,-60.04,73.49,10.74
432,brandon,90,US,93,43.59,-96.57,68.0,4.7
433,brae,41,GB,100,60.4,-1.35,57.2,1.12
434,houma,19,CN,30,35.63,111.36,97.43,14.52
435,taluksangay,90,PH,74,6.95,122.18,87.8,10.29
436,amga,86,RU,30,60.89,131.98,73.85,2.15
437,guthrie,1,US,58,35.88,-97.43,86.0,9.17
438,yerbogachen,37,RU,41,61.28,108.01,79.97,1.32
439,ostrovnoy,96,RU,82,68.05,39.51,45.77,16.11
440,gualaquiza,75,EC,98,-3.4,-78.58,45.95,4.65
441,artesia,1,US,34,32.84,-104.4,82.4,5.82
442,salacgriva,97,LV,82,57.75,24.36,57.0,1.99
443,barcelona,20,ES,78,41.38,2.18,75.0,6.93
444,gat,0,SN,83,14.69,-16.54,77.0,9.17
445,mokhsogollokh,97,RU,53,61.4,128.95,61.07,12.41
446,lorengau,100,PG,78,-2.02,147.27,81.41,11.92
447,jumla,100,NP,95,29.28,82.18,56.75,1.99
448,coquimbo,0,CL,93,-29.95,-71.34,50.0,25.57
449,agalatovo,90,RU,76,60.22,30.29,55.99,8.95
450,vardo,1,US,88,39.62,-77.74,70.0,5.82
